Postgres8,,,,,,,,,,
order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR34203601,1/3/25,789203,25891601,110,2025-02-03,2025-01-03,110,1,1,1
FMR32320302,1/3/25,789320,25891203,347,2025-02-03,2025-01-03,347,1,1,1
FMR33320501,1/3/25,789320,25891203,187,2025-02-03,2025-01-03,150,0,1,0
FMR34220601,1/3/25,789220,25891203,235,2025-02-03,2025-01-03,235,1,1,1
FMR33703603,1/3/25,789703,25891203,176,2025-02-03,2025-01-03,176,1,1,1
FMR33721603,1/3/25,789721,25891203,345,2025-02-03,2025-01-03,345,1,1,1
FMR33420203,1/3/25,789420,25891203,138,2025-02-03,2025-01-03,138,1,0,0
FMR34420402,1/3/25,789420,25891203,381,2025-02-03,2025-01-03,381,1,0,0
FMR32403401,1/3/25,789403,25891203,348,2025-01-04,2025-01-04,348,1,1,1
FMR34121203,1/3/25,789121,25891203,480,2025-01-04,2025-01-04,480,1,0,0
FMR32501601,1/3/25,789501,25891203,478,2025-01-04,2025-01-04,478,1,1,1
FMR34501203,1/3/25,789501,25891203,491,2025-01-04,2025-01-04,491,1,1,1
FMR34102602,1/3/25,789102,25891203,407,2025-01-04,2025-01-04,387,0,1,0
FMR33902203,1/3/25,789902,25891203,299,2025-01-04,2025-01-04,299,1,1,1
FMR34903603,1/3/25,789903,25891203,329,2025-01-04,2025-01-04,329,1,1,1
FMR32421203,1/3/25,789421,25891203,441,2025-01-04,2025-01-04,419,0,0,0
FMR33421203,1/3/25,789421,25891203,104,2025-01-04,2025-01-04,99,0,0,0
FMR33402203,1/3/25,789402,25891203,491,2025-01-04,2025-01-04,491,1,0,0
FMR33621603,1/3/25,789621,25891203,138,2025-01-04,2025-01-04,138,1,1,1
FMR34520301,1/3/25,789520,25891203,172,2025-01-04,2025-01-04,155,0,1,0
FMR33702302,1/3/25,789702,25891302,38,2025-01-04,2025-01-04,30,0,1,0
FMR32320302,1/3/25,789320,25891302,54,2025-01-04,2025-01-04,54,1,1,1
FMR34603302,1/3/25,789603,25891302,37,2025-01-04,2025-01-04,37,1,1,1
FMR34721502,1/3/25,789721,25891302,63,2025-01-04,2025-01-04,60,0,0,0
FMR33621302,1/3/25,789621,25891302,56,2025-01-04,2025-01-04,56,1,0,0
