Fact_Summary,,,,,,,,,,,,,,,,,,,,
order_id,order_placement_date,customer_id,product_id,product_name,category,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full,Year,Month,Day,Day Name,Month Name,Week of Year,Weekend,total_amount
FMR36101401,2025-03-03,789101,25891201,AM Butter 100,Dairy,419,2025-04-30,2025-01-05,377,0,1,0,2025,3,3,Monday,March,10,FALSE,1340.8000000000002
FMR36203203,2025-03-03,789203,25891203,AM Butter 500,Dairy,367,2025-04-30,2025-01-05,367,1,1,1,2025,3,3,Monday,March,10,FALSE,2936.0
FMR36521203,2025-03-03,789521,25891203,AM Butter 500,Dairy,442,2025-04-30,2025-01-05,442,1,0,0,2025,3,3,Monday,March,10,FALSE,3536.0
FMR34403502,2025-03-03,789403,25891203,AM Butter 500,Dairy,453,2025-04-30,2025-01-05,453,1,1,1,2025,3,3,Monday,March,10,FALSE,3624.0
FMR34301401,2025-03-03,789301,25891203,AM Butter 500,Dairy,248,2025-04-30,2025-01-05,248,1,1,1,2025,3,3,Monday,March,10,FALSE,1984.0
FMR36202203,2025-03-03,789202,25891203,AM Butter 500,Dairy,356,2025-04-30,2025-01-05,320,0,0,0,2025,3,3,Monday,March,10,FALSE,2848.0
FMR35303203,2025-03-03,789303,25891203,AM Butter 500,Dairy,205,2025-04-30,2025-01-05,195,0,1,0,2025,3,3,Monday,March,10,FALSE,1640.0
FMR36121203,2025-03-03,789121,25891203,AM Butter 500,Dairy,424,2025-04-30,2025-01-05,424,1,0,0,2025,3,3,Monday,March,10,FALSE,3392.0
FMR35201601,2025-03-03,789201,25891203,AM Butter 500,Dairy,487,2025-04-30,2025-01-05,487,1,1,1,2025,3,3,Monday,March,10,FALSE,3896.0
FMR34601603,2025-03-03,789601,25891203,AM Butter 500,Dairy,323,2025-04-30,2025-01-05,291,0,1,0,2025,3,3,Monday,March,10,FALSE,2584.0
FMR34122503,2025-03-03,789122,25891203,AM Butter 500,Dairy,228,2025-04-30,2025-01-05,205,0,0,0,2025,3,3,Monday,March,10,FALSE,1824.0
FMR34902603,2025-03-03,789902,25891203,AM Butter 500,Dairy,297,2025-04-30,2025-01-05,297,1,1,1,2025,3,3,Monday,March,10,FALSE,2376.0
FMR35903203,2025-03-03,789903,25891203,AM Butter 500,Dairy,358,2025-04-30,2025-01-05,286,0,1,0,2025,3,3,Monday,March,10,FALSE,2864.0
FMR34702402,2025-03-03,789702,25891203,AM Butter 500,Dairy,130,2025-04-30,2025-01-05,130,1,1,1,2025,3,3,Monday,March,10,FALSE,1040.0
FMR35702503,2025-03-03,789702,25891203,AM Butter 500,Dairy,378,2025-04-30,2025-01-05,340,0,1,0,2025,3,3,Monday,March,10,FALSE,3024.0
FMR35520602,2025-03-03,789520,25891203,AM Butter 500,Dairy,499,2025-04-30,2025-01-05,499,1,0,0,2025,3,3,Monday,March,10,FALSE,3992.0
FMR34321403,2025-03-03,789321,25891302,AM Cheese 150,Dairy,53,2025-04-30,2025-01-05,53,1,1,1,2025,3,3,Monday,March,10,FALSE,265.0
FMR35321302,2025-03-03,789321,25891302,AM Cheese 150,Dairy,52,2025-04-30,2025-01-05,52,1,0,0,2025,3,3,Monday,March,10,FALSE,260.0
FMR34421503,2025-03-03,789421,25891302,AM Cheese 150,Dairy,27,2025-04-30,2025-01-05,26,0,0,0,2025,3,3,Monday,March,10,FALSE,135.0
FMR35420302,2025-03-03,789420,25891302,AM Cheese 150,Dairy,81,2025-04-30,2025-01-05,81,1,1,1,2025,3,3,Monday,March,10,FALSE,405.0
FMR35403302,2025-03-03,789403,25891302,AM Cheese 150,Dairy,69,2025-04-30,2025-01-05,62,0,1,0,2025,3,3,Monday,March,10,FALSE,345.0
FMR34201603,2025-03-03,789201,25891302,AM Cheese 150,Dairy,54,2025-04-30,2025-01-05,54,1,1,1,2025,3,3,Monday,March,10,FALSE,270.0
FMR36122503,2025-03-03,789122,25891302,AM Cheese 150,Dairy,49,2025-04-30,2025-01-05,44,0,0,0,2025,3,3,Monday,March,10,FALSE,245.0
